,Screen Name,User Name,Tweet Created At,User Location,Tweet Coordinates,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited,Replied,Tweet
1821,LeLoLa28,hello darkness my old friend,2019-11-03 14:19:59,,None,3959,False,Twitter for iPad,0,False,None,denmark pays its students 1 000 a month to go to university and charge no tuition fees students are seen as an investment in the future rather than a cost 
1822,teenaaah_,tee 🦋,2019-11-03 14:19:59,broward county ✨,None,215,False,Twitter for iPhone,0,False,None,immigration checkpoint i 595 and university they have a bus and taking ppl in the boston market parking lot and checking everyone broward ppl rt
1823,NorgroveSelina,Selina Norgrove #VoteLabour,2019-11-03 14:19:59,,None,3959,False,Twitter for Android,0,False,None,denmark pays its students 1 000 a month to go to university and charge no tuition fees students are seen as an investment in the future rather than a cost 
1824,DunmadeSamuel,TheBarry,2019-11-03 14:19:58,Nigeria,None,320,False,Twitter for Android,0,False,None,honestly as a student in the university the most comforting words youll ever hear are i havent started either 
1825,vbhoyo,Verónica Hoyo,2019-11-03 14:19:58,,None,3959,False,Twitter Web App,0,False,None,denmark pays its students 1 000 a month to go to university and charge no tuition fees students are seen as an investment in the future rather than a cost 
1826,KazzMcLeod,Kazz Jambo🕷️,2019-11-03 14:19:58,Scotland,None,3959,False,Twitter for Android,0,False,None,denmark pays its students 1 000 a month to go to university and charge no tuition fees students are seen as an investment in the future rather than a cost 
1827,originalyolo1,Wicked Witch of the Southwest,2019-11-03 14:19:58,"Chicago, IL",None,30263,False,Twitter for iPhone,0,False,None,a cornell university study found that men overestimate their abilities and performance while women underestimate both a hewlett packard report also suggests men apply for jobs when they meet 60 of the qualifications but women apply if they meet 100 apply for the jobs ladies 
1828,AGruehn,Allen Gruehn,2019-11-03 14:19:57,,None,7,False,Twitter for iPhone,0,False,None,thanks to coach creamer and delaware state football for the opportunity to continue my football career at delaware state university honored to receive this offer jeremiah 29 11 qbk 
1829,IsaacSchutz,Isaac Schutz @ It’s Mariah Season,2019-11-03 14:19:56,"Boston, MA",None,30263,False,Twitter for iPhone,0,False,None,a cornell university study found that men overestimate their abilities and performance while women underestimate both a hewlett packard report also suggests men apply for jobs when they meet 60 of the qualifications but women apply if they meet 100 apply for the jobs ladies 
1830,fotobee1,fotobee,2019-11-03 14:19:56,Home,None,158,False,Twitter for iPad,0,False,None,after a reporter from stand news is arrested another reporter from hong kong baptist university student press is arrested when he was arresting he shout out that police told him sodomy is fun in sanukling freedomofpress metoo sexharassment hkpoliceterrorism soshk 
